table,description,code_2008,code_2012,code_2016,code_2020
Native Hawaiian and Other Pacific Islander Alone,Female: 35 to 44 years,JVSE026,ABK5E026,AJ6SE026,AQYLE026
Native Hawaiian and Other Pacific Islander Alone,Female: 45 to 54 years,JVSE027,ABK5E027,AJ6SE027,AQYLE027
Native Hawaiian and Other Pacific Islander Alone,Female: 55 to 64 years,JVSE028,ABK5E028,AJ6SE028,AQYLE028
Native Hawaiian and Other Pacific Islander Alone,Female: 65 to 74 years,JVSE029,ABK5E029,AJ6SE029,AQYLE029
Native Hawaiian and Other Pacific Islander Alone,Female: 75 to 84 years,JVSE030,ABK5E030,AJ6SE030,AQYLE030
Native Hawaiian and Other Pacific Islander Alone,Female: 85 years and over,JVSE031,ABK5E031,AJ6SE031,AQYLE031
Some Other Race Alone,Total,JVTE001,ABK6E001,AJ6TE001,AQYME001
Some Other Race Alone,Male,JVTE002,ABK6E002,AJ6TE002,AQYME002
Some Other Race Alone,Male: Under 5 years,JVTE003,ABK6E003,AJ6TE003,AQYME003
Some Other Race Alone,Male: 5 to 9 years,JVTE004,ABK6E004,AJ6TE004,AQYME004
Some Other Race Alone,Male: 10 to 14 years,JVTE005,ABK6E005,AJ6TE005,AQYME005
Some Other Race Alone,Male: 15 to 17 years,JVTE006,ABK6E006,AJ6TE006,AQYME006
Some Other Race Alone,Male: 18 and 19 years,JVTE007,ABK6E007,AJ6TE007,AQYME007
Some Other Race Alone,Male: 20 to 24 years,JVTE008,ABK6E008,AJ6TE008,AQYME008
Some Other Race Alone,Male: 25 to 29 years,JVTE009,ABK6E009,AJ6TE009,AQYME009
Some Other Race Alone,Male: 30 to 34 years,JVTE010,ABK6E010,AJ6TE010,AQYME010
Some Other Race Alone,Male: 35 to 44 years,JVTE011,ABK6E011,AJ6TE011,AQYME011
Some Other Race Alone,Male: 45 to 54 years,JVTE012,ABK6E012,AJ6TE012,AQYME012
Some Other Race Alone,Male: 55 to 64 years,JVTE013,ABK6E013,AJ6TE013,AQYME013
Some Other Race Alone,Male: 65 to 74 years,JVTE014,ABK6E014,AJ6TE014,AQYME014
Some Other Race Alone,Male: 75 to 84 years,JVTE015,ABK6E015,AJ6TE015,AQYME015
Some Other Race Alone,Male: 85 years and over,JVTE016,ABK6E016,AJ6TE016,AQYME016
Some Other Race Alone,Female,JVTE017,ABK6E017,AJ6TE017,AQYME017
Some Other Race Alone,Female: Under 5 years,JVTE018,ABK6E018,AJ6TE018,AQYME018
Some Other Race Alone,Female: 5 to 9 years,JVTE019,ABK6E019,AJ6TE019,AQYME019
Some Other Race Alone,Female: 10 to 14 years,JVTE020,ABK6E020,AJ6TE020,AQYME020
Some Other Race Alone,Female: 15 to 17 years,JVTE021,ABK6E021,AJ6TE021,AQYME021
Some Other Race Alone,Female: 18 and 19 years,JVTE022,ABK6E022,AJ6TE022,AQYME022
Some Other Race Alone,Female: 20 to 24 years,JVTE023,ABK6E023,AJ6TE023,AQYME023
Some Other Race Alone,Female: 25 to 29 years,JVTE024,ABK6E024,AJ6TE024,AQYME024
Some Other Race Alone,Female: 30 to 34 years,JVTE025,ABK6E025,AJ6TE025,AQYME025
Some Other Race Alone,Female: 35 to 44 years,JVTE026,ABK6E026,AJ6TE026,AQYME026
Some Other Race Alone,Female: 45 to 54 years,JVTE027,ABK6E027,AJ6TE027,AQYME027
