year,totalvotes,democrat_voter,other_voter,republican_voter,gisjoin
2008,76158,31460,992,43706,G1200170
2008,94577,26697,677,67203,G1200190
2008,141988,54450,1159,86379,G1200210
2008,28128,9171,287,18670,G1200230
2008,10131,4383,116,5632,G1200270
2008,7264,1925,145,5194,G1200290
2008,415761,202618,2606,210537,G1200310
2008,154447,61572,1464,91411,G1200330
2008,49031,24726,354,23951,G1200350
2008,6029,2134,77,3818,G1200370
2008,22510,15582,117,6811,G1200390
2008,7819,1996,167,5656,G1200410
2008,4261,1674,54,2533,G1200430
2008,7205,2149,76,4980,G1200450
2008,5587,2364,44,3179,G1200470
2008,7412,2568,81,4763,G1200490
2008,10879,4998,101,5780,G1200510
2008,87901,41886,994,45021,G1200530
2008,44783,18135,427,26221,G1200550
2008,513312,272963,3994,236355,G1200570
2008,8589,1446,110,7033,G1200590
2008,70591,29710,705,40176,G1200610
2008,21565,7671,177,13717,G1200630
2008,7957,4088,72,3797,G1200650
2008,3359,642,38,2679,G1200670
2008,146926,62948,1176,82802,G1200690
2008,269276,119701,1967,147608,G1200710
2008,148608,91747,1156,55705,G1200730
2008,18725,6711,260,11754,G1200750
2008,3278,895,44,2339,G1200770
2008,8907,4270,93,4544,G1200790
2008,151994,70034,1239,80721,G1200810
2008,162022,70839,1555,89628,G1200830
2008,78294,33508,643,44143,G1200850
2008,863486,499831,3104,360551,G1200860
2008,40272,20907,432,18933,G1200870
2008,38304,10618,283,27403,G1200890
2008,95529,25872,868,68789,G1200910
2008,12786,5108,117,7561,G1200930
2008,462711,273009,2870,186832,G1200950
2008,100670,59962,622,40086,G1200970
2008,590500,361271,3192,226037,G1200990
2008,214866,102417,2345,110104,G1201010
2008,463282,248299,4917,210066,G1201030
2008,244833,113865,2090,128878,G1201050
2008,33171,13236,298,19637,G1201070
2008,105844,35791,831,69222,G1201090
2008,120579,67125,942,52512,G1201110
2008,76185,19470,743,55972,G1201130
2008,207353,102686,1770,102897,G1201150
2008,205895,99335,1490,105070,G1201170
2008,48868,17655,347,30866,G1201190
2008,17662,4916,212,12534,G1201210
2008,9366,2803,106,6457,G1201230
2008,5285,1299,53,3933,G1201250
2008,243824,127795,2091,113938,G1201270
2008,14376,5311,188,8877,G1201290
2008,27046,7174,311,19561,G1201310
2008,11131,2863,90,8178,G1201330
2008,6996,1846,65,5085,G1300010
2008,2904,938,25,1941,G1300030
2008,3938,817,32,3089,G1300050
2008,1687,846,13,828,G1300070
2008,16537,8587,127,7823,G1300090
2008,6241,1027,94,5120,G1300110
2008,24582,6657,300,17625,G1300130
2008,36093,9662,455,25976,G1300150
2008,6036,2590,29,3417,G1300170
2008,6449,1471,77,4901,G1300190
2008,66368,38987,344,27037,G1300210
2008,5071,1380,34,3657,G1300230
2008,6277,1119,78,5080,G1300250
2008,6201,2669,25,3507,G1300270
2008,12845,3636,97,9112,G1300290
2008,23920,9586,160,14174,G1300310
2008,9626,5233,49,4344,G1300330
2008,9091,3065,79,5947,G1300350
2008,2211,1342,7,862,G1300370
2008,17084,6482,100,10502,G1300390
2008,3518,1209,23,2286,G1300430
2008,43498,14334,503,28661,G1300450
2008,24496,6025,253,18218,G1300470
2008,3685,1197,22,2466,G1300490
2008,110238,62755,654,46829,G1300510
2008,1653,830,12,811,G1300530
2008,8307,2596,139,5572,G1300550
2008,93772,22350,1143,70279,G1300570
2008,45510,29591,586,15333,G1300590
2008,1440,879,3,558,G1300610
2008,99438,82527,405,16506,G1300630
2008,2696,989,29,1678,G1300650
2008,315444,141216,3271,170957,G1300670
2008,13747,4811,64,8872,G1300690
2008,13435,4139,111,9185,G1300710
2008,55351,15703,326,39322,G1300730
2008,5903,2075,46,3782,G1300750
2008,53549,15521,457,37571,G1300770
2008,5240,1832,50,3358,G1300790
2008,7550,3085,41,4424,G1300810
2008,6408,1612,93,4703,G1300830
2008,9974,1632,100,8242,G1300850
2008,10374,4424,60,5890,G1300870
2008,322301,254594,2126,65581,G1300890
2008,8212,2595,74,5543,G1300910
